Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
1200,50,2,2,1,1,1,0,0,0,Parque do Carmo,rent,24.0,"(-23.562975, -46.479401)",Pública,0.1880234015337093
1200,46,2,2,1,1,1,0,0,0,Parque do Carmo,rent,26.08695652173913,"(-23.562211, -46.479378)",Privada,0.2519336877479458
1000,50,2,2,1,1,1,0,0,0,Parque do Carmo,rent,20.0,"(-23.563018, -46.478423)",Pública,0.2629978055161752
1350,65,2,2,1,1,1,1,0,0,Penha,rent,20.76923076923077,"(-23.52095, -46.544154)",Privada,0.05729001361130574
1100,53,2,2,1,1,0,0,0,0,Penha,rent,20.754716981132077,"(-23.530016, -46.5387)",Privada,0.7454200826266925
1600,53,2,2,1,1,0,0,0,0,Penha,rent,30.18867924528302,"(-23.532156, -46.549314)",Pública,0.1886758407550772
1290,54,2,2,1,1,0,0,0,0,Penha,rent,23.88888888888889,"(-23.528045, -46.578424)",Pública,0.45361064207246254
1100,47,1,2,1,1,1,0,0,0,Penha,rent,23.404255319148938,"(-23.519551, -46.553027)",Pública,0.14166015654340328
1200,120,3,2,1,2,0,0,0,0,Penha,rent,10.0,"(-23.526619, -46.55139)",Pública,0.5041578459461409
1400,57,2,2,1,1,0,0,0,0,Penha,rent,24.56140350877193,"(-23.526354, -46.530312)",Privada,0.10116758905171157
1400,58,2,2,1,1,0,0,0,0,Penha,rent,24.137931034482758,"(-23.526354, -46.530312)",Privada,0.10116758905171157
900,58,2,2,1,1,1,0,1,0,Penha,rent,15.517241379310345,"(-23.512915, -46.516716)",Pública,0.13804326359051983
1000,47,1,2,1,1,1,0,0,0,Penha,rent,21.27659574468085,"(-23.519551, -46.553027)",Pública,0.14166015654340328
1200,52,2,2,1,1,1,0,0,0,Penha,rent,23.076923076923077,"(-23.513096, -46.526718)",Privada,0.32178938345866676
1200,61,2,2,1,1,0,0,0,0,Penha,rent,19.672131147540984,"(-23.519926, -46.542036)",Privada,0.2055593354983003
