Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
950000,138,2,2,1,2,1,0,1,0,Consolação,sale,6884.057971014493,"(-23.546764, -46.643184)",Pública,0.4556558094289587
460000,37,1,2,1,1,0,0,0,0,Consolação,sale,12432.432432432432,"(-23.555119, -46.656069)",Privada,0.32172404443495745
750000,108,2,2,1,1,1,0,0,0,Consolação,sale,6944.444444444444,"(-23.553074, -46.651426)",Privada,0.2358056116324306
1250000,118,3,3,1,1,1,0,0,0,Consolação,sale,10593.22033898305,"(-23.559637, -46.665683)",Privada,0.17383255146516866
430000,38,1,2,1,1,1,0,1,0,Consolação,sale,11315.78947368421,"(-23.552396, -46.652277)",Privada,0.2920336935897858
400000,35,1,2,1,1,1,1,1,0,Consolação,sale,11428.57142857143,"(-23.554081, -46.659172)",Privada,0.5174578936045781
486000,41,1,2,1,1,1,0,1,0,Consolação,sale,11853.658536585366,"(-23.554007, -46.653279)",Privada,0.09490629019816436
390000,54,1,2,1,1,1,0,0,0,Consolação,sale,7222.222222222223,"(-23.548779, -46.651096)",Pública,0.05789164464694276
265000,45,2,2,1,1,1,0,1,0,Liberdade,sale,5888.888888888889,"(-23.555392, -46.628307)",Pública,0.07981884646300073
185000,38,2,2,1,1,1,0,1,0,Liberdade,sale,4868.421052631579,"(-23.554039, -46.630837)",Privada,0.19647705639991803
450000,80,3,2,1,2,1,1,1,0,Liberdade,sale,5625.0,"(-23.558008, -46.631027)",Privada,0.06249802624419053
350000,46,2,2,1,1,1,0,1,0,Liberdade,sale,7608.695652173913,"(-23.555293, -46.628528)",Pública,0.05640420833867667
315000,53,2,2,1,1,0,0,1,0,Liberdade,sale,5943.396226415094,"(-23.553501, -46.628189)",Privada,0.08353748303101359
299000,45,2,2,1,1,0,0,1,0,Liberdade,sale,6644.444444444444,"(-23.555293, -46.628528)",Pública,0.05640420833867667
265000,48,2,2,1,1,0,0,1,0,Liberdade,sale,5520.833333333333,"(-23.553501, -46.628189)",Privada,0.08353748303101359
