,Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
5069,480000,72,3,1,0,1,1,0,0,0,Mooca,sale,6666.666666666667,"(-23.5587624, -46.5941499)",Privada,0.32375508854664115
5070,1408000,108,2,3,2,2,0,0,0,0,Brooklin,sale,13037.037037037036,"(-23.6040517, -46.6948844)",Privada,0.4976590904444499
5071,579000,63,2,2,1,1,0,0,1,0,Brooklin,sale,9190.47619047619,"(-23.622119, -46.686306)",Privada,0.27087836676281285
5072,670000,63,2,2,1,2,0,0,1,0,Brooklin,sale,10634.920634920634,"(-23.5634559, -46.6408459)",Pública,0.24502687707992934
5073,540000,75,2,1,0,1,0,0,0,0,Brooklin,sale,7200.0,"(-23.605129, -46.692501)",Pública,0.24608499008093193
5074,1400000,125,3,4,3,3,0,0,1,0,Brooklin,sale,11200.0,"(-23.6223085, -46.6956178)",Privada,0.6028174640540441
5075,980000,83,1,2,1,1,0,1,1,0,Brooklin,sale,11807.22891566265,"(-23.6099141, -46.6816952)",Privada,0.27673256970030313
5076,870000,97,3,2,1,1,0,0,1,0,Brooklin,sale,8969.072164948453,"(-23.6110106, -46.6825191)",Privada,0.27277994561807045
5077,1800000,158,2,3,2,2,0,0,1,0,Brooklin,sale,11392.405063291139,"(-23.6116456, -46.6787316)",Privada,0.08148110877760278
5078,1400000,152,3,3,2,3,0,0,1,0,Brooklin,sale,9210.526315789473,"(-23.6122223, -46.6826425)",Privada,0.17754102692442278
5079,640000,59,2,2,1,1,0,0,1,0,Brooklin,sale,10847.457627118643,"(-23.6108304, -46.6873233)",Privada,0.14347527118608733
5080,1300000,136,3,3,2,3,0,0,1,0,Brooklin,sale,9558.823529411764,"(-23.6075553, -46.6916043)",Pública,0.07731497213988836
5081,926012,79,2,2,1,2,0,0,0,0,Brooklin,sale,11721.67088607595,"(-23.6251021, -46.6930767)",Privada,0.261063815808518
5082,1260545,105,3,4,3,2,1,0,0,0,Brooklin,sale,12005.190476190477,"(-23.6251021, -46.6930767)",Privada,0.261063815808518
5083,1198000,119,2,2,1,2,0,0,1,0,Brooklin,sale,10067.226890756303,"(-23.6000081, -46.6878647)",Privada,0.7460783407994294
5084,585000,50,1,2,1,1,0,0,1,0,Brooklin,sale,11700.0,"(-23.6186739, -46.6853961)",Privada,0.46620913311862827
5085,1259000,80,2,2,1,1,0,0,1,0,Brooklin,sale,15737.5,"(-23.6116403, -46.6926875)",Privada,0.4653713546009667
5086,1770000,180,4,3,2,4,0,0,1,0,Brooklin,sale,9833.333333333334,"(-23.6100161, -46.6817975)",Privada,0.2789494636353074
5087,980862,100,3,2,1,2,0,0,1,0,Brooklin,sale,9808.62,"(-23.5053909, -46.6227832)",Pública,0.18629605547828512
5088,2109500,315,4,6,4,4,0,0,1,0,Brooklin,sale,6696.825396825397,"(-23.610753, -46.6811536)",Privada,0.1747639040214897
5089,1300000,139,4,2,1,1,0,0,1,0,Brooklin,sale,9352.51798561151,"(-23.6165496, -46.6792578)",Privada,0.35387088605949085
5090,800000,76,2,2,1,2,1,0,0,0,Brooklin,sale,10526.315789473685,"(-23.6069955, -46.69516)",Pública,0.4347279787097189
5091,1950000,138,2,3,2,2,0,0,0,0,Brooklin,sale,14130.434782608696,"(-23.6172149, -46.6840777)",Privada,0.5205188988155235
5092,1462500,128,3,4,3,3,0,0,1,0,Brooklin,sale,11425.78125,"(-23.6126842, -46.6851879)",Privada,0.34063318011747445
5093,1380000,184,3,2,1,2,1,0,0,0,Brooklin,sale,7500.0,"(-23.6100398, -46.6825835)",Privada,0.3526340534790078
5094,1200000,121,3,2,1,3,0,0,0,0,Brooklin,sale,9917.355371900827,"(-23.6104856, -46.6811616)",Privada,0.19097392669947363
5095,592617,65,2,2,1,1,1,0,1,1,Brooklin,sale,9117.184615384615,"(0.0, 0.0)",Privada,26.75857604338459
5096,1950000,210,3,2,1,2,0,0,0,0,Brooklin,sale,9285.714285714286,"(-23.610067, -46.682032)",Privada,0.29756194154212273
5097,1300000,169,3,4,3,2,0,0,0,0,Brooklin,sale,7692.307692307692,"(-23.6220498, -46.6808683)",Privada,0.040885932635057534
5098,850000,116,3,2,1,2,0,0,1,0,Brooklin,sale,7327.586206896552,"(-23.6120761, -46.6818755)",Privada,0.13456385635795204
5099,620000,62,2,2,1,1,0,0,1,0,Brooklin,sale,10000.0,"(-23.6127102, -46.6837266)",Privada,0.26846421971027773
5100,1070000,93,2,2,1,2,0,0,1,0,Brooklin,sale,11505.376344086022,"(-23.6154236, -46.6859729)",Privada,0.5716614689706445
5101,2239000,167,3,4,3,3,0,0,1,0,Brooklin,sale,13407.185628742514,"(-23.6119465, -46.6914314)",Privada,0.3423658826895161
5102,1890000,178,4,4,3,3,0,0,1,0,Brooklin,sale,10617.977528089888,"(-23.6155658, -46.6807763)",Privada,0.27458358116312026
5103,1500000,98,2,2,1,2,0,1,1,0,Brooklin,sale,15306.122448979591,"(-23.6068912, -46.6959343)",Pública,0.5209480913958162
5104,1500000,140,3,3,2,2,0,0,1,0,Brooklin,sale,10714.285714285714,"(-23.6106241, -46.6813139)",Privada,0.19725197934606511
5105,2700000,180,2,3,2,2,0,1,0,0,Brooklin,sale,15000.0,"(-23.606882, -46.696656)",Pública,0.601294235496061
5106,3150000,210,4,4,3,3,1,1,0,0,Brooklin,sale,15000.0,"(-23.606882, -46.696656)",Pública,0.601294235496061
5107,1500000,184,3,2,1,2,0,0,0,0,Brooklin,sale,8152.173913043478,"(-23.6111147, -46.6907737)",Privada,0.24491836441265555
5108,636000,65,2,1,0,1,0,0,0,0,Brooklin,sale,9784.615384615385,"(-23.612855, -46.6836298)",Privada,0.25519071777218466
5109,1800000,180,4,4,3,3,0,0,1,0,Brooklin,sale,10000.0,"(-23.6100161, -46.6817975)",Privada,0.2789494636353074
5110,3460000,240,3,4,3,4,0,0,1,0,Brooklin,sale,14416.666666666666,"(-23.6108372, -46.6930098)",Pública,0.47426500691791246
5111,2150000,178,3,4,3,3,0,0,1,0,Brooklin,sale,12078.651685393259,"(0.0, 0.0)",Privada,26.75857604338459
5112,580000,70,2,2,0,1,0,0,0,0,Brooklin,sale,8285.714285714286,"(-23.6168081, -46.6793209)",Privada,0.3650624220421621
5113,2350000,178,2,3,2,3,1,0,1,0,Brooklin,sale,13202.247191011236,"(0.0, 0.0)",Privada,26.75857604338459
5114,640000,67,3,2,1,1,0,0,0,0,Brooklin,sale,9552.23880597015,"(-23.6127342, -46.6794609)",Privada,0.06518497040270957
